,Country,Helmet wearing rate,Deaths per billion km cycled
0,US,55.16129032258064,43.91129032258065
1,FI,44.75806451612903,19.959677419354847
2,FR,22.5,27.338709677419352
3,SE,17.177419354838705,14.274193548387101
4,UK,15.96774193548387,29.153225806451616
5,DE,12.096774193548377,14.879032258064516
6,DK,1.9354838709677322,14.63709677419355
7,NL,0.967741935483873,10.40322580645161
